name,128,64,32,16,8,4,2,1
Pedro Martinez Portero,100.0\%,23.77\%,4.5\%,0.55\%,0.05\%,0.0\%,0.0\%,0.0\%
Facundo Arguello,100.0\%,18.43\%,2.61\%,0.17\%,0.04\%,0.0\%,0.0\%,0.0\%
Kevin Krawietz,100.0\%,15.3\%,1.91\%,0.04\%,0.04\%,0.0\%,0.0\%,0.0\%
Gregoire Barrere,100.0\%,21.88\%,3.47\%,0.45\%,0.03\%,0.0\%,0.0\%,0.0\%
Oscar Otte,100.0\%,14.28\%,1.44\%,0.09\%,0.03\%,0.0\%,0.0\%,0.0\%
Tommy Robredo,100.0\%,35.0\%,10.1\%,1.5\%,0.0\%,0.0\%,0.0\%,0.0\%
Evgeny Donskoy,100.0\%,31.15\%,7.5\%,1.1\%,0.0\%,0.0\%,0.0\%,0.0\%
Attila Balazs,100.0\%,26.13\%,5.4\%,0.8\%,0.0\%,0.0\%,0.0\%,0.0\%
Arthur De Greef,100.0\%,24.28\%,4.44\%,0.72\%,0.0\%,0.0\%,0.0\%,0.0\%
James Ward,100.0\%,24.63\%,4.74\%,0.63\%,0.0\%,0.0\%,0.0\%,0.0\%
Thai Son Kwiatkowski,100.0\%,22.55\%,3.64\%,0.55\%,0.0\%,0.0\%,0.0\%,0.0\%
Zdenek Kolar,100.0\%,21.23\%,3.5\%,0.5\%,0.0\%,0.0\%,0.0\%,0.0\%
Alexei Popyrin,100.0\%,23.51\%,4.12\%,0.46\%,0.0\%,0.0\%,0.0\%,0.0\%
Go Soeda,100.0\%,24.2\%,4.3\%,0.45\%,0.0\%,0.0\%,0.0\%,0.0\%
Nino Serdarusic,100.0\%,22.06\%,3.5\%,0.31\%,0.0\%,0.0\%,0.0\%,0.0\%
Salvatore Caruso,100.0\%,21.24\%,3.32\%,0.28\%,0.0\%,0.0\%,0.0\%,0.0\%
Matteo Viola,100.0\%,18.18\%,2.53\%,0.24\%,0.0\%,0.0\%,0.0\%,0.0\%
Hugo Dellien,100.0\%,16.49\%,1.98\%,0.17\%,0.0\%,0.0\%,0.0\%,0.0\%
